
央视频道,#genre#
CCTV-1综合,http://www.weetai.cn/tv/meowtv-as.php?id=cctv1hd
CCTV-1综合,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv1hd
CCTV-1综合,http://www.weetai.cn/tv/meowtv-as.php?id=cctv1
CCTV-1综合,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv1
CCTV-2财经,http://www.weetai.cn/tv/meowtv-as.php?id=cctv2hd
CCTV-2财经,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv2hd
CCTV-2财经,http://www.weetai.cn/tv/meowtv-as.php?id=cctv2
CCTV-2财经,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv2
CCTV-3综艺,http://www.weetai.cn/tv/meowtv-as.php?id=cctv3hd
CCTV-3综艺,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv3hd
CCTV-3综艺,http://www.weetai.cn/tv/meowtv-as.php?id=cctv3
CCTV-3综艺,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv3
CCTV-4中文,http://www.weetai.cn/tv/meowtv-as.php?id=cctv4hd
CCTV-4中文,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv4hd
CCTV-4中文,http://www.weetai.cn/tv/meowtv-as.php?id=cctv4
CCTV-4中文,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv4
CCTV-5体育,http://www.weetai.cn/tv/meowtv-as.php?id=cctv5hd
CCTV-5体育,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv5hd
CCTV-5体育,http://www.weetai.cn/tv/meowtv-as.php?id=cctv5
CCTV-5体育,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv5
CCTV-5⁺体育,http://www.weetai.cn/tv/meowtv-as.php?id=cctv5p
CCTV-5⁺体育,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv5p
CCTV-6电影,http://www.weetai.cn/tv/meowtv-as.php?id=cctv6hd
CCTV-6电影,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv6hd
CCTV-6电影,http://www.weetai.cn/tv/meowtv-as.php?id=cctv6
CCTV-6电影,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv6
CCTV-7军事,http://www.weetai.cn/tv/meowtv-as.php?id=cctv7hd
CCTV-7军事,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv7hd
CCTV-7军事,http://www.weetai.cn/tv/meowtv-as.php?id=cctv7
CCTV-7军事,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv7
CCTV-8电视,http://www.weetai.cn/tv/meowtv-as.php?id=cctv8hd
CCTV-8电视,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv8hd
CCTV-8电视,http://www.weetai.cn/tv/meowtv-as.php?id=cctv8
CCTV-8电视,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv8
CCTV-9纪录,http://www.weetai.cn/tv/meowtv-as.php?id=cctv9hd
CCTV-9纪录,http://www.weetai.cn/tv/meowtv-as.php?id=cctv9hd2
CCTV-9纪录,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv9hd
CCTV-9纪录,http://www.weetai.cn/tv/meowtv-as.php?id=cctv9
CCTV-9纪录,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv9
CCTV-10科教,http://www.weetai.cn/tv/meowtv-as.php?id=cctv10hd
CCTV-10科教,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv10hd
CCTV-10科教,http://www.weetai.cn/tv/meowtv-as.php?id=cctv10
CCTV-10科教,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv10
CCTV-11戏曲,http://www.weetai.cn/tv/meowtv-as.php?id=cctv11hd
CCTV-11戏曲,http://www.weetai.cn/tv/meowtv-as.php?id=cctv11
CCTV-11戏曲,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv11
CCTV-12社会,http://www.weetai.cn/tv/meowtv-as.php?id=cctv12hd
CCTV-12社会,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv12hd
CCTV-12社会,http://www.weetai.cn/tv/meowtv-as.php?id=cctv12
CCTV-12社会,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv12
CCTV-13新闻,http://www.weetai.cn/tv/meowtv-as.php?id=cctv13hd
CCTV-13新闻,http://www.weetai.cn/tv/meowtv-as.php?id=cctv13
CCTV-13新闻,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv13
CCTV-14少儿,http://www.weetai.cn/tv/meowtv-as.php?id=cctv14hd
CCTV-14少儿,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv14hd
CCTV-14少儿,http://www.weetai.cn/tv/meowtv-as.php?id=cctv14
CCTV-14少儿,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv14
CCTV-15音乐,http://www.weetai.cn/tv/meowtv-as.php?id=cctv15hd
CCTV-15音乐,http://www.weetai.cn/tv/meowtv-as.php?id=cctv15
CCTV-15音乐,http://www.weetai.cn/tv/meowtv-jy.php?id=cctv15
CCTV-16奥体,http://www.weetai.cn/tv/meowtv-as.php?id=cctv16hd
CCTV-16奥体,http://www.weetai.cn/tv/meowtv-as.php?id=cctv16_4k
CCTV-17农业,http://www.weetai.cn/tv/meowtv-as.php?id=cctv17hd
CCTV-17农业,http://www.weetai.cn/tv/meowtv-as.php?id=cctv17
CETV-教育1台,http://www.weetai.cn/tv/meowtv-as.php?id=cetv1hd
CETV-教育1台,http://www.weetai.cn/tv/meowtv-as.php?id=cetv1
CETV-教育1台,http://www.weetai.cn/tv/meowtv-jy.php?id=cetv1
CETV-教育2台,http://www.weetai.cn/tv/meowtv-as.php?id=cetv2
CETV-教育3台,http://www.weetai.cn/tv/meowtv-jy.php?id=cetv3
CETV-教育4台,http://www.weetai.cn/tv/meowtv-as.php?id=cetv4
CETV-教育4台,http://www.weetai.cn/tv/meowtv-jy.php?id=cetv4
CGTN-国际台,http://www.weetai.cn/tv/meowtv-as.php?id=cgtn2
CGTN-国际台,http://www.weetai.cn/tv/meowtv-as.php?id=cgtn
CGTN-国际台,http://www.weetai.cn/tv/meowtv-jy.php?id=cgtn
CGTN-法语台,http://www.weetai.cn/tv/meowtv-as.php?id=cgtnf
CGTN-俄语台,http://www.weetai.cn/tv/meowtv-as.php?id=cgtnr
CGTN-阿拉伯,http://www.weetai.cn/tv/meowtv-as.php?id=cgtna
